Area Code,Area Name,Qty_Mean_Current,Quality_Mean_Current,Seasonality,Quantity_Trend,Cluster,PC1,PC2,SUB_ICB_Code,Driver_GP_Density,Driver_Elderly_Pct,Driver_chinldren_Pct,Driver_COPD_Prevalence,Driver_Minority_Pct,Driver_IMD_Score
E38000068,Cheshire and Merseyside ICB - 01F ,115.982475,6.4325,1.1480742197700842,-8.609816784834244,0,-1.035054100237781,0.336549127988987,01F,0.6218936426893094,0.18789298393295026,0.16461589137356805,3.16125,3.5011247499474596,25.531
E38000079,Hertfordshire and West Essex ICB - 06N ,105.6777925,9.4175,1.2258143516632665,-8.124410822871422,1,1.6189837347838876,-0.5372339659726266,06N,0.5800289934333129,0.16623781687703715,0.17696750829342883,1.34117,21.567419496711345,13.522
E38000080,Greater Manchester ICB - 01D ,101.43331725000002,6.1675,1.172191986388813,-18.684567889110625,2,-2.33433734089011,-2.7105113581282176,01D,0.640130280367969,0.16040084329552268,0.19214353493284209,2.60028,26.048756507943597,29.6
E38000085,Humber and North Yorkshire ICB - 03F ,114.3700175,4.275,1.1632606633654738,-5.618494200535034,0,-1.0774030869175504,0.8760128647103937,03F,0.4813696998566037,0.1565277110962027,0.1751374347006324,3.15085,8.250692831997602,20.858
E38000086,Suffolk and North East Essex ICB - 06L ,135.870385,8.8125,1.2046065225793448,-5.963689504568409,3,1.1745425295592966,1.523720730639028,06L,0.5737362638384245,0.23051993125667208,0.1532267716007717,1.73252,7.979657882570504,19.708
E38000089,Cornwall and The Isles Of Scilly ICB - 11N ,129.6522575,8.165,1.155269681838944,-6.747526146290479,0,-0.0227298513698893,1.3334492867923746,11N,0.6621639411971488,0.2542517778661645,0.1423200637704791,2.46835,3.184021189535221,22.283
E38000091,Cheshire and Merseyside ICB - 01J ,121.1221825,6.6274999999999995,1.214481068511742,-8.087250429974823,0,0.2484922075640591,0.3326388638749846,01J,0.5598837822886948,0.17073283190686148,0.17907841272585803,3.55324,4.710252792627205,25.531
E38000097,"Leicester, Leicestershire and Rutland ICB - 04C ",85.14332375000001,8.4175,1.250388761023541,-7.862316255382858,1,1.851443144677481,-1.5858573587790046,04C,0.49615247672047824,0.11639202585099945,0.17646165561627256,1.25238,59.12423216339997,19.793
E38000101,Cheshire and Merseyside ICB - 99A ,106.82031125,7.4975,1.2106931986329317,-10.89658795902107,1,0.1375493786585818,-0.9723933001652452,99A,0.7874754212501449,0.14548988420597783,0.15264567567249476,2.96991,15.973412276352683,25.531
E38000106,Mid and South Essex ICB - 06Q ,129.68233,9.54,1.2317354374048866,-10.21244936234622,3,1.2443029667138008,0.127126271815141,06Q,0.5578278691107084,0.20583254535537607,0.16565400582587633,1.58466,7.738347812493021,18.08
